z,dz,e,ei,u
5.829,-0.829,-0.000,0.182,0.545
5.821,-0.821,-0.000,0.182,0.545
5.813,-0.813,-0.000,0.182,0.545
5.805,-0.805,0.000,0.182,0.545
5.797,-0.797,0.000,0.182,0.545
5.789,-0.789,-0.000,0.182,0.545
5.781,-0.781,-0.000,0.181,0.544
5.773,-0.773,-0.000,0.181,0.543
5.765,-0.765,0.000,0.181,0.544
5.758,-0.758,0.000,0.181,0.544
5.750,-0.750,-0.000,0.181,0.544
5.743,-0.742,-0.000,0.181,0.543
5.735,-0.735,-0.000,0.181,0.543
5.728,-0.728,-0.000,0.181,0.543
5.721,-0.721,0.000,0.181,0.543
5.713,-0.713,-0.000,0.181,0.543
5.706,-0.706,-0.000,0.181,0.542
5.699,-0.699,-0.000,0.181,0.542
5.692,-0.692,-0.000,0.181,0.542
5.685,-0.685,0.000,0.181,0.542
5.678,-0.678,0.000,0.181,0.542
5.672,-0.672,-0.000,0.181,0.542
5.665,-0.665,-0.000,0.180,0.541
5.658,-0.658,-0.000,0.180,0.541
5.652,-0.652,0.000,0.180,0.541
5.645,-0.645,0.000,0.180,0.541
5.639,-0.639,-0.000,0.180,0.541
5.632,-0.632,-0.000,0.180,0.540
5.626,-0.626,-0.000,0.180,0.540
5.620,-0.620,-0.000,0.180,0.540
5.614,-0.614,0.000,0.180,0.540
5.607,-0.607,-0.000,0.180,0.540
5.601,-0.601,-0.000,0.180,0.540
5.595,-0.595,-0.000,0.180,0.539
5.589,-0.589,-0.000,0.180,0.539
5.583,-0.583,-0.000,0.180,0.539
5.578,-0.578,0.000,0.180,0.539
5.572,-0.572,-0.000,0.180,0.539
5.566,-0.566,-0.000,0.180,0.539
5.560,-0.560,-0.000,0.179,0.538
5.555,-0.555,-0.000,0.179,0.538
5.549,-0.549,0.000,0.179,0.538
5.544,-0.544,-0.000,0.179,0.538
5.538,-0.538,-0.000,0.179,0.538
5.533,-0.533,-0.000,0.179,0.538
5.528,-0.528,-0.000,0.179,0.537
5.522,-0.522,-0.000,0.179,0.537
5.517,-0.517,-0.000,0.179,0.537
5.512,-0.512,-0.000,0.179,0.537
5.507,-0.507,-0.000,0.179,0.537
5.502,-0.502,-0.000,0.179,0.537
5.497,-0.497,-0.000,0.179,0.537
5.492,-0.492,-0.000,0.179,0.537
5.487,-0.487,-0.000,0.179,0.537
5.482,-0.482,-0.000,0.179,0.536
5.477,-0.477,-0.000,0.179,0.536
5.472,-0.472,-0.000,0.179,0.536
5.468,-0.468,-0.000,0.179,0.536
5.463,-0.463,-0.000,0.179,0.536
5.458,-0.458,-0.000,0.179,0.536
5.454,-0.454,-0.000,0.179,0.536
5.449,-0.449,-0.000,0.178,0.535
5.445,-0.445,-0.000,0.178,0.535
5.440,-0.440,-0.000,0.178,0.535
5.436,-0.436,-0.000,0.178,0.535
5.432,-0.432,-0.000,0.178,0.535
5.427,-0.427,-0.000,0.178,0.535
5.423,-0.423,-0.000,0.178,0.535
5.419,-0.419,-0.000,0.178,0.535
5.415,-0.415,-0.000,0.178,0.535
5.410,-0.410,-0.000,0.178,0.535
5.406,-0.406,-0.000,0.178,0.534
5.402,-0.402,-0.000,0.178,0.534
5.398,-0.398,-0.000,0.178,0.534
5.394,-0.394,-0.000,0.178,0.534
5.390,-0.390,-0.000,0.178,0.534
5.386,-0.386,-0.000,0.178,0.534
5.383,-0.383,-0.000,0.178,0.534
5.379,-0.379,-0.000,0.178,0.534
5.375,-0.375,-0.000,0.178,0.534
5.371,-0.371,-0.000,0.178,0.534
5.367,-0.367,-0.000,0.178,0.533
5.364,-0.364,-0.000,0.178,0.533
5.360,-0.360,-0.000,0.178,0.533
5.357,-0.357,-0.000,0.178,0.533
5.353,-0.353,-0.000,0.178,0.533
5.349,-0.349,-0.000,0.178,0.533
5.346,-0.346,-0.000,0.178,0.533
5.343,-0.342,-0.000,0.178,0.533
5.339,-0.339,-0.000,0.178,0.533
5.336,-0.336,-0.000,0.178,0.533
5.332,-0.332,-0.000,0.178,0.533
5.329,-0.329,-0.000,0.177,0.532
5.326,-0.326,-0.000,0.177,0.532
5.322,-0.322,-0.000,0.177,0.532
5.319,-0.319,-0.000,0.177,0.532
5.316,-0.316,-0.000,0.177,0.532
5.313,-0.313,-0.000,0.177,0.532
5.310,-0.310,-0.000,0.177,0.532
5.307,-0.307,-0.000,0.177,0.532
5.304,-0.304,-0.000,0.177,0.532
5.301,-0.301,-0.000,0.177,0.532
5.298,-0.298,-0.000,0.177,0.532
5.295,-0.295,-0.000,0.177,0.531
5.292,-0.292,-0.000,0.177,0.531
5.289,-0.289,-0.000,0.177,0.531
5.286,-0.286,-0.000,0.177,0.531
5.283,-0.283,-0.000,0.177,0.531
5.280,-0.280,-0.000,0.177,0.531
5.277,-0.277,-0.000,0.177,0.531
5.275,-0.275,-0.000,0.177,0.531
5.272,-0.272,-0.000,0.177,0.531
5.269,-0.269,-0.000,0.177,0.531
5.266,-0.266,-0.000,0.177,0.531
5.264,-0.264,-0.000,0.177,0.531
5.261,-0.261,-0.000,0.177,0.531
5.259,-0.258,-0.000,0.177,0.531
5.256,-0.256,-0.000,0.177,0.530
5.253,-0.253,-0.000,0.177,0.530
5.251,-0.251,-0.000,0.177,0.530
5.248,-0.248,-0.000,0.177,0.530
5.246,-0.246,-0.000,0.177,0.530
5.243,-0.243,-0.000,0.177,0.530
5.241,-0.241,-0.000,0.177,0.530
5.239,-0.239,-0.000,0.177,0.530
5.236,-0.236,-0.000,0.177,0.530
5.234,-0.234,-0.000,0.177,0.530
5.231,-0.231,-0.000,0.177,0.530
5.229,-0.229,-0.000,0.177,0.530
5.227,-0.227,-0.000,0.177,0.530
5.225,-0.225,-0.000,0.177,0.530
5.222,-0.222,-0.000,0.177,0.530
5.220,-0.220,-0.000,0.177,0.530
5.218,-0.218,-0.000,0.176,0.529
5.216,-0.216,-0.000,0.176,0.529
5.214,-0.214,-0.000,0.176,0.529
5.211,-0.211,-0.000,0.176,0.529
5.209,-0.209,-0.000,0.176,0.529
5.207,-0.207,-0.000,0.176,0.529
5.205,-0.205,-0.000,0.176,0.529
5.203,-0.203,-0.000,0.176,0.529
5.201,-0.201,-0.000,0.176,0.529
5.199,-0.199,-0.000,0.176,0.529
5.197,-0.197,-0.000,0.176,0.529
5.195,-0.195,-0.000,0.176,0.529
5.193,-0.193,-0.000,0.176,0.529
5.191,-0.191,-0.000,0.176,0.529
5.189,-0.189,-0.000,0.176,0.529
5.187,-0.187,-0.000,0.176,0.529
5.186,-0.186,-0.000,0.176,0.529
5.184,-0.184,-0.000,0.176,0.529
5.182,-0.182,-0.000,0.176,0.529
5.180,-0.180,-0.000,0.176,0.528
5.178,-0.178,-0.000,0.176,0.528
5.176,-0.176,-0.000,0.176,0.528
5.175,-0.175,-0.000,0.176,0.528
5.173,-0.173,-0.000,0.176,0.528
5.171,-0.171,-0.000,0.176,0.528
5.170,-0.169,-0.000,0.176,0.528
5.168,-0.168,-0.000,0.176,0.528
5.166,-0.166,-0.000,0.176,0.528
5.164,-0.164,-0.000,0.176,0.528
5.163,-0.163,-0.000,0.176,0.528
5.161,-0.161,-0.000,0.176,0.528
5.160,-0.160,-0.000,0.176,0.528
5.158,-0.158,-0.000,0.176,0.528
5.156,-0.156,-0.000,0.176,0.528
5.155,-0.155,-0.000,0.176,0.528
5.153,-0.153,-0.000,0.176,0.528
5.152,-0.152,-0.000,0.176,0.528
5.150,-0.150,-0.000,0.176,0.528
5.149,-0.149,-0.000,0.176,0.528
5.147,-0.147,-0.000,0.176,0.528
5.146,-0.146,-0.000,0.176,0.528
5.144,-0.144,-0.000,0.176,0.528
5.143,-0.143,-0.000,0.176,0.527
5.141,-0.141,-0.000,0.176,0.527
5.140,-0.140,-0.000,0.176,0.527
5.139,-0.139,-0.000,0.176,0.527
5.137,-0.137,-0.000,0.176,0.527
5.136,-0.136,-0.000,0.176,0.527
5.135,-0.135,-0.000,0.176,0.527
5.133,-0.133,-0.000,0.176,0.527
5.132,-0.132,-0.000,0.176,0.527
5.131,-0.131,-0.000,0.176,0.527
5.129,-0.129,-0.000,0.176,0.527
5.128,-0.128,-0.000,0.176,0.527
5.127,-0.127,-0.000,0.176,0.527
5.125,-0.125,-0.000,0.176,0.527
5.124,-0.124,-0.000,0.176,0.527
5.123,-0.123,-0.000,0.176,0.527
5.122,-0.122,-0.000,0.176,0.527
5.120,-0.120,-0.000,0.176,0.527
5.119,-0.119,-0.000,0.176,0.527
5.118,-0.118,-0.000,0.176,0.527
5.117,-0.117,-0.000,0.176,0.527
5.116,-0.116,-0.000,0.176,0.527
5.115,-0.115,-0.000,0.176,0.527
5.113,-0.113,-0.000,0.176,0.527
5.112,-0.112,-0.000,0.176,0.527
5.111,-0.111,-0.000,0.176,0.527
5.110,-0.110,-0.000,0.176,0.527
5.109,-0.109,-0.000,0.176,0.527
5.108,-0.108,-0.000,0.176,0.527
5.107,-0.107,-0.000,0.176,0.527
5.106,-0.106,-0.000,0.175,0.526
5.105,-0.105,-0.000,0.175,0.526
5.104,-0.104,-0.000,0.175,0.526
5.103,-0.103,-0.000,0.175,0.526
5.102,-0.102,-0.000,0.175,0.526
5.101,-0.101,-0.000,0.175,0.526
5.100,-0.100,-0.000,0.175,0.526
5.099,-0.099,-0.000,0.175,0.526
5.098,-0.098,-0.000,0.175,0.526
5.097,-0.097,-0.000,0.175,0.526
5.096,-0.096,-0.000,0.175,0.526
5.095,-0.095,-0.000,0.175,0.526
5.094,-0.094,-0.000,0.175,0.526
5.093,-0.093,-0.000,0.175,0.526
5.092,-0.092,-0.000,0.175,0.526
5.091,-0.091,-0.000,0.175,0.526
5.090,-0.090,-0.000,0.175,0.526
5.089,-0.089,-0.000,0.175,0.526
5.088,-0.088,-0.000,0.175,0.526
5.087,-0.087,-0.000,0.175,0.526
5.086,-0.086,-0.000,0.175,0.526
5.086,-0.086,-0.000,0.175,0.526
5.085,-0.085,-0.000,0.175,0.526
5.084,-0.084,-0.000,0.175,0.526
5.083,-0.083,-0.000,0.175,0.526
5.082,-0.082,-0.000,0.175,0.526
5.081,-0.081,-0.000,0.175,0.526
5.081,-0.081,-0.000,0.175,0.526
5.080,-0.080,-0.000,0.175,0.526
5.079,-0.079,-0.000,0.175,0.526
5.078,-0.078,-0.000,0.175,0.526
5.077,-0.077,-0.000,0.175,0.526
5.077,-0.077,-0.000,0.175,0.526
5.076,-0.076,-0.000,0.175,0.526
5.075,-0.075,-0.000,0.175,0.526
5.074,-0.074,-0.000,0.175,0.526
5.074,-0.074,-0.000,0.175,0.526
5.073,-0.073,-0.000,0.175,0.526
5.072,-0.072,-0.000,0.175,0.526
5.071,-0.071,-0.000,0.175,0.526
5.071,-0.071,-0.000,0.175,0.526
