z,dz,e,ei,u
8.000,-0.000,-3.000,-0.200,-1.200
8.000,-0.339,-2.661,-0.200,-1.132
7.997,-0.437,-2.559,-0.200,-1.112
7.992,-0.535,-2.457,-0.200,-1.091
7.987,-0.633,-2.354,-0.200,-1.071
7.981,-0.731,-2.249,-0.200,-1.050
7.973,-0.829,-2.144,-0.200,-1.029
7.965,-0.928,-2.037,-0.200,-1.007
7.956,-1.026,-1.930,-0.200,-0.986
7.945,-1.124,-1.822,-0.200,-0.964
7.934,-1.222,-1.712,-0.200,-0.942
7.922,-1.320,-1.602,-0.200,-0.920
7.909,-1.418,-1.491,-0.200,-0.898
7.895,-1.516,-1.379,-0.200,-0.876
7.879,-1.614,-1.265,-0.200,-0.853
7.863,-1.712,-1.151,-0.200,-0.830
7.846,-1.810,-1.036,-0.200,-0.807
7.828,-1.908,-0.920,-0.200,-0.784
7.809,-2.006,-0.803,-0.200,-0.761
7.789,-2.104,-0.685,-0.200,-0.737
7.768,-2.202,-0.565,-0.200,-0.713
7.746,-2.300,-0.445,-0.200,-0.689
7.723,-2.399,-0.324,-0.200,-0.665
7.699,-2.497,-0.202,-0.200,-0.640
7.674,-2.595,-0.079,-0.200,-0.616
7.648,-2.693,0.045,-0.155,-0.457
7.621,-2.791,0.170,0.015,0.078
7.593,-2.887,0.294,0.200,0.659
7.564,-2.830,0.265,0.200,0.653
7.536,-2.775,0.239,0.200,0.648
7.508,-2.723,0.215,0.200,0.643
7.481,-2.673,0.192,0.200,0.638
7.454,-2.626,0.171,0.200,0.634
7.428,-2.580,0.152,0.200,0.630
7.402,-2.536,0.134,0.200,0.627
7.377,-2.493,0.117,0.200,0.623
7.352,-2.453,0.101,0.200,0.620
7.327,-2.413,0.086,0.200,0.617
7.303,-2.375,0.072,0.200,0.614
7.279,-2.338,0.059,0.200,0.612
7.256,-2.302,0.046,0.200,0.609
7.233,-2.268,0.035,0.200,0.607
7.210,-2.234,0.024,0.200,0.605
7.188,-2.201,0.013,0.200,0.603
7.166,-2.170,0.003,0.200,0.601
7.144,-2.139,-0.006,0.194,0.581
7.123,-2.116,-0.007,0.187,0.559
7.102,-2.102,0.000,0.187,0.561
7.081,-2.087,0.007,0.194,0.582
7.060,-2.064,0.004,0.198,0.595
7.039,-2.036,-0.003,0.195,0.583
7.019,-2.012,-0.006,0.188,0.563
6.999,-1.997,-0.002,0.186,0.559
6.979,-1.984,0.005,0.191,0.574
6.959,-1.964,0.005,0.196,0.588
6.939,-1.938,-0.001,0.194,0.583
6.920,-1.915,-0.005,0.189,0.566
6.901,-1.898,-0.003,0.186,0.558
6.882,-1.885,0.003,0.189,0.568
6.863,-1.867,0.004,0.194,0.582
6.844,-1.844,0.000,0.194,0.581
6.826,-1.822,-0.004,0.190,0.568
6.808,-1.804,-0.003,0.186,0.559
6.790,-1.791,0.001,0.188,0.564
6.772,-1.775,0.004,0.192,0.575
6.754,-1.755,0.001,0.193,0.579
6.736,-1.734,-0.003,0.190,0.569
6.719,-1.716,-0.003,0.187,0.559
6.702,-1.702,0.000,0.187,0.560
6.685,-1.688,0.003,0.190,0.570
6.668,-1.670,0.002,0.192,0.575
6.651,-1.650,-0.002,0.190,0.569
6.635,-1.632,-0.003,0.187,0.560
6.618,-1.618,-0.001,0.186,0.558
6.602,-1.604,0.002,0.188,0.565
6.586,-1.588,0.002,0.190,0.571
6.570,-1.570,-0.001,0.190,0.569
6.555,-1.552,-0.003,0.187,0.561
6.539,-1.538,-0.001,0.186,0.557
6.524,-1.525,0.001,0.187,0.561
6.509,-1.511,0.002,0.189,0.567
6.493,-1.494,0.000,0.189,0.567
6.478,-1.477,-0.002,0.187,0.561
6.464,-1.462,-0.002,0.186,0.556
6.449,-1.449,0.000,0.186,0.558
6.435,-1.436,0.002,0.188,0.563
6.420,-1.421,0.001,0.188,0.565
6.406,-1.405,-0.001,0.187,0.561
6.392,-1.390,-0.002,0.185,0.556
6.378,-1.378,-0.000,0.185,0.555
6.364,-1.366,0.001,0.186,0.559
6.351,-1.352,0.001,0.187,0.562
6.337,-1.337,-0.001,0.187,0.561
6.324,-1.322,-0.001,0.185,0.556
6.311,-1.310,-0.001,0.185,0.554
6.297,-1.298,0.001,0.185,0.556
6.284,-1.286,0.001,0.186,0.560
6.272,-1.272,-0.000,0.186,0.559
6.259,-1.258,-0.001,0.185,0.556
6.246,-1.245,-0.001,0.184,0.553
6.234,-1.234,0.000,0.185,0.554
6.222,-1.222,0.001,0.186,0.557
6.209,-1.210,0.000,0.186,0.558
6.197,-1.196,-0.001,0.185,0.555
6.185,-1.184,-0.001,0.184,0.552
