z,dz,e,ei,u
6.731,-1.731,-0.000,0.190,0.570
6.714,-1.713,-0.001,0.189,0.567
6.697,-1.696,-0.001,0.188,0.565
6.680,-1.680,0.000,0.189,0.566
6.663,-1.663,0.001,0.189,0.568
6.646,-1.646,-0.000,0.189,0.568
6.630,-1.629,-0.001,0.188,0.565
6.613,-1.613,-0.001,0.188,0.563
6.597,-1.597,0.000,0.188,0.564
6.581,-1.582,0.000,0.188,0.565
6.566,-1.566,0.000,0.188,0.565
6.550,-1.549,-0.000,0.188,0.564
6.534,-1.534,-0.001,0.187,0.562
6.519,-1.519,-0.000,0.187,0.562
6.504,-1.504,0.000,0.188,0.563
6.489,-1.489,0.000,0.188,0.563
6.474,-1.474,-0.000,0.187,0.562
6.459,-1.459,-0.001,0.187,0.561
6.445,-1.444,-0.000,0.187,0.560
6.430,-1.430,0.000,0.187,0.560
6.416,-1.416,0.000,0.187,0.561
6.402,-1.402,-0.000,0.187,0.561
6.388,-1.387,-0.000,0.186,0.559
6.374,-1.373,-0.000,0.186,0.558
6.360,-1.360,0.000,0.186,0.558
6.346,-1.347,0.000,0.186,0.559
6.333,-1.333,0.000,0.186,0.559
6.320,-1.319,-0.000,0.186,0.558
6.306,-1.306,-0.000,0.186,0.557
6.293,-1.293,-0.000,0.186,0.557
6.280,-1.281,0.000,0.186,0.557
6.268,-1.268,0.000,0.186,0.557
6.255,-1.255,-0.000,0.186,0.557
6.242,-1.242,-0.000,0.185,0.555
6.230,-1.230,-0.000,0.185,0.555
6.218,-1.218,0.000,0.185,0.555
6.206,-1.206,0.000,0.185,0.555
6.193,-1.193,-0.000,0.185,0.555
6.182,-1.181,-0.000,0.185,0.554
6.170,-1.170,-0.000,0.185,0.553
6.158,-1.158,-0.000,0.184,0.553
6.146,-1.147,0.000,0.185,0.554
6.135,-1.135,-0.000,0.185,0.554
6.124,-1.123,-0.000,0.184,0.553
6.112,-1.112,-0.000,0.184,0.552
6.101,-1.101,-0.000,0.184,0.552
6.090,-1.090,0.000,0.184,0.552
6.079,-1.079,0.000,0.184,0.552
6.069,-1.068,-0.000,0.184,0.552
6.058,-1.058,-0.000,0.184,0.551
6.047,-1.047,-0.000,0.184,0.551
6.037,-1.037,0.000,0.184,0.551
6.026,-1.027,0.000,0.184,0.551
6.016,-1.016,-0.000,0.183,0.550
6.006,-1.006,-0.000,0.183,0.550
5.996,-0.996,-0.000,0.183,0.549
5.986,-0.986,-0.000,0.183,0.549
5.976,-0.976,0.000,0.183,0.549
5.966,-0.966,-0.000,0.183,0.549
5.957,-0.957,-0.000,0.183,0.549
5.947,-0.947,-0.000,0.183,0.548
5.938,-0.938,-0.000,0.183,0.548
5.928,-0.928,-0.000,0.183,0.548
5.919,-0.919,-0.000,0.183,0.548
5.910,-0.910,-0.000,0.183,0.548
5.901,-0.901,-0.000,0.182,0.547
5.892,-0.892,-0.000,0.182,0.547
5.883,-0.883,-0.000,0.182,0.547
5.874,-0.874,-0.000,0.182,0.547
5.865,-0.865,-0.000,0.182,0.546
5.857,-0.856,-0.000,0.182,0.546
5.848,-0.848,-0.000,0.182,0.546
5.840,-0.840,-0.000,0.182,0.546
5.831,-0.831,-0.000,0.182,0.545
5.823,-0.823,-0.000,0.182,0.545
5.815,-0.815,-0.000,0.182,0.545
5.806,-0.806,-0.000,0.182,0.545
5.798,-0.798,-0.000,0.181,0.544
5.790,-0.790,-0.000,0.181,0.544
5.783,-0.783,-0.000,0.181,0.544
5.775,-0.775,-0.000,0.181,0.544
