z,dz,e,ei,u
7.134,-2.126,-0.008,0.192,0.575
7.112,-2.106,-0.007,0.185,0.555
7.091,-2.094,0.002,0.188,0.564
7.070,-2.078,0.008,0.195,0.588
7.050,-2.052,0.003,0.198,0.596
7.029,-2.024,-0.005,0.193,0.578
7.009,-2.002,-0.007,0.186,0.558
6.989,-1.989,0.000,0.187,0.560
6.969,-1.975,0.006,0.193,0.579
6.949,-1.953,0.004,0.197,0.590
6.930,-1.926,-0.003,0.193,0.580
6.910,-1.904,-0.006,0.187,0.561
6.891,-1.890,-0.001,0.186,0.558
6.872,-1.877,0.004,0.190,0.572
6.854,-1.858,0.004,0.195,0.584
6.835,-1.834,-0.001,0.193,0.579
6.817,-1.812,-0.005,0.188,0.564
6.799,-1.796,-0.002,0.186,0.557
6.781,-1.783,0.003,0.188,0.566
6.763,-1.767,0.004,0.192,0.578
6.745,-1.745,0.000,0.193,0.578
6.728,-1.724,-0.004,0.189,0.566
6.710,-1.707,-0.003,0.186,0.557
6.693,-1.694,0.001,0.187,0.561
6.676,-1.680,0.003,0.191,0.572
6.660,-1.661,0.001,0.192,0.575
6.643,-1.640,-0.003,0.189,0.567
6.627,-1.623,-0.003,0.186,0.558
6.610,-1.610,-0.000,0.186,0.558
6.594,-1.597,0.003,0.189,0.567
6.578,-1.580,0.002,0.191,0.572
6.562,-1.561,-0.001,0.189,0.567
6.547,-1.544,-0.003,0.186,0.559
6.531,-1.530,-0.001,0.186,0.556
6.516,-1.518,0.002,0.187,0.562
6.501,-1.503,0.002,0.189,0.568
6.486,-1.486,-0.000,0.189,0.567
6.471,-1.469,-0.002,0.187,0.559
6.456,-1.455,-0.001,0.185,0.555
6.442,-1.443,0.001,0.186,0.558
6.427,-1.429,0.002,0.188,0.564
6.413,-1.413,0.000,0.188,0.565
6.399,-1.397,-0.002,0.187,0.560
6.385,-1.383,-0.002,0.185,0.555
6.371,-1.371,0.000,0.185,0.556
6.357,-1.359,0.002,0.187,0.560
6.344,-1.345,0.001,0.188,0.563
6.330,-1.329,-0.001,0.187,0.560
6.317,-1.316,-0.002,0.185,0.555
6.304,-1.304,-0.000,0.185,0.554
6.291,-1.292,0.001,0.186,0.557
6.278,-1.279,0.001,0.187,0.560
6.265,-1.265,-0.000,0.186,0.559
6.253,-1.251,-0.001,0.185,0.555
6.240,-1.239,-0.001,0.184,0.552
6.228,-1.228,0.001,0.185,0.554
6.215,-1.216,0.001,0.186,0.557
6.203,-1.203,0.000,0.186,0.558
6.191,-1.190,-0.001,0.185,0.555
6.179,-1.178,-0.001,0.184,0.552
6.167,-1.168,0.000,0.184,0.552
6.156,-1.157,0.001,0.185,0.555
6.144,-1.145,0.000,0.185,0.556
6.133,-1.132,-0.001,0.185,0.554
6.121,-1.121,-0.001,0.184,0.551
6.110,-1.110,-0.000,0.184,0.550
6.099,-1.100,0.001,0.184,0.552
6.088,-1.089,0.001,0.185,0.554
6.077,-1.077,-0.000,0.184,0.553
6.067,-1.066,-0.001,0.184,0.551
6.056,-1.055,-0.000,0.183,0.549
