time,target,z,dz,e,ei,u
0.000,5.000,6.000,-0.000,-1.000,-0.200,-0.800
0.010,5.000,6.000,0.321,-1.321,-0.200,-0.864
0.020,5.000,6.003,0.223,-1.226,-0.200,-0.845
0.030,5.000,6.005,0.125,-1.131,-0.200,-0.826
0.040,5.000,6.007,0.027,-1.034,-0.200,-0.807
0.050,5.000,6.007,-0.071,-0.936,-0.200,-0.787
0.060,5.000,6.006,-0.169,-0.837,-0.200,-0.767
0.070,5.000,6.005,-0.267,-0.737,-0.200,-0.747
0.080,5.000,6.002,-0.365,-0.637,-0.200,-0.727
0.090,5.000,5.998,-0.463,-0.535,-0.200,-0.707
0.100,5.000,5.994,-0.561,-0.432,-0.200,-0.686
0.110,5.000,5.988,-0.659,-0.329,-0.200,-0.666
0.120,5.000,5.981,-0.757,-0.224,-0.200,-0.645
0.130,5.000,5.974,-0.856,-0.118,-0.200,-0.624
0.140,5.000,5.965,-0.954,-0.012,-0.200,-0.602
0.150,5.000,5.956,-1.052,0.096,-0.104,-0.293
0.160,5.000,5.945,-1.150,0.205,0.100,0.342
0.170,5.000,5.934,-1.206,0.272,0.200,0.654
0.180,5.000,5.922,-1.151,0.229,0.200,0.646
0.190,5.000,5.910,-1.100,0.190,0.200,0.638
0.200,5.000,5.899,-1.052,0.153,0.200,0.631
0.210,5.000,5.889,-1.008,0.120,0.200,0.624
0.220,5.000,5.879,-0.967,0.088,0.200,0.618
0.230,5.000,5.869,-0.929,0.060,0.200,0.612
0.240,5.000,5.860,-0.893,0.033,0.200,0.607
0.250,5.000,5.851,-0.859,0.009,0.200,0.602
0.260,5.000,5.842,-0.828,-0.014,0.186,0.555
0.270,5.000,5.834,-0.816,-0.018,0.168,0.500
0.280,5.000,5.826,-0.825,-0.001,0.167,0.500
0.290,5.000,5.817,-0.833,0.016,0.183,0.551
0.300,5.000,5.809,-0.823,0.014,0.196,0.591
0.310,5.000,5.801,-0.796,-0.005,0.191,0.572
0.320,5.000,5.793,-0.777,-0.016,0.175,0.522
0.330,5.000,5.785,-0.778,-0.008,0.167,0.501
0.340,5.000,5.777,-0.786,0.009,0.176,0.530
0.350,5.000,5.769,-0.784,0.014,0.190,0.574
0.360,5.000,5.762,-0.764,0.002,0.193,0.579
0.370,5.000,5.754,-0.742,-0.012,0.181,0.541
0.380,5.000,5.747,-0.736,-0.011,0.170,0.509
0.390,5.000,5.739,-0.741,0.002,0.172,0.517
0.400,5.000,5.732,-0.744,0.012,0.184,0.555
0.410,5.000,5.724,-0.732,0.007,0.191,0.575
0.420,5.000,5.717,-0.711,-0.006,0.186,0.556
0.430,5.000,5.710,-0.699,-0.011,0.175,0.522
0.440,5.000,5.703,-0.700,-0.003,0.171,0.514
0.450,5.000,5.696,-0.703,0.008,0.179,0.538
0.460,5.000,5.689,-0.698,0.009,0.188,0.566
0.470,5.000,5.682,-0.682,-0.000,0.188,0.563
0.480,5.000,5.675,-0.666,-0.009,0.179,0.535
0.490,5.000,5.668,-0.662,-0.006,0.173,0.517
0.500,5.000,5.662,-0.665,0.003,0.176,0.527
0.510,5.000,5.655,-0.663,0.008,0.184,0.553
0.520,5.000,5.649,-0.652,0.004,0.187,0.563
0.530,5.000,5.642,-0.637,-0.005,0.182,0.546
0.540,5.000,5.636,-0.629,-0.007,0.175,0.524
0.550,5.000,5.629,-0.628,-0.001,0.174,0.522
0.560,5.000,5.623,-0.629,0.006,0.180,0.541
0.570,5.000,5.617,-0.622,0.005,0.186,0.558
0.580,5.000,5.611,-0.609,-0.001,0.184,0.552
0.590,5.000,5.604,-0.598,-0.006,0.178,0.532
0.600,5.000,5.599,-0.595,-0.003,0.174,0.522
0.610,5.000,5.593,-0.596,0.003,0.177,0.533
0.620,5.000,5.587,-0.592,0.006,0.183,0.550
0.630,5.000,5.581,-0.582,0.001,0.184,0.553
0.640,5.000,5.575,-0.571,-0.004,0.180,0.540
0.650,5.000,5.569,-0.565,-0.005,0.176,0.526
0.660,5.000,5.564,-0.564,0.000,0.176,0.528
0.670,5.000,5.558,-0.562,0.004,0.180,0.542
0.680,5.000,5.552,-0.555,0.003,0.183,0.551
0.690,5.000,5.547,-0.545,-0.002,0.182,0.545
0.700,5.000,5.541,-0.537,-0.004,0.177,0.531
0.710,5.000,5.536,-0.534,-0.002,0.176,0.526
0.720,5.000,5.531,-0.533,0.003,0.178,0.535
0.730,5.000,5.525,-0.529,0.004,0.182,0.546
0.740,5.000,5.520,-0.520,0.000,0.182,0.547
0.750,5.000,5.515,-0.512,-0.003,0.179,0.536
0.760,5.000,5.510,-0.507,-0.003,0.176,0.528
0.770,5.000,5.505,-0.505,0.001,0.177,0.530
0.780,5.000,5.499,-0.503,0.003,0.180,0.540
0.790,5.000,5.494,-0.496,0.002,0.182,0.546
0.800,5.000,5.489,-0.488,-0.002,0.180,0.540
0.810,5.000,5.485,-0.482,-0.003,0.177,0.531
0.820,5.000,5.480,-0.479,-0.001,0.176,0.529
0.830,5.000,5.475,-0.477,0.002,0.178,0.535
0.840,5.000,5.470,-0.473,0.002,0.181,0.542
0.850,5.000,5.466,-0.465,-0.000,0.181,0.542
0.860,5.000,5.461,-0.459,-0.002,0.178,0.534
0.870,5.000,5.456,-0.454,-0.002,0.177,0.529
0.880,5.000,5.452,-0.452,0.001,0.177,0.532
0.890,5.000,5.447,-0.449,0.002,0.179,0.539
0.900,5.000,5.443,-0.444,0.001,0.180,0.541
0.910,5.000,5.438,-0.437,-0.001,0.179,0.537
0.920,5.000,5.434,-0.432,-0.002,0.177,0.531
0.930,5.000,5.430,-0.429,-0.000,0.177,0.530
0.940,5.000,5.425,-0.427,0.001,0.178,0.535
0.950,5.000,5.421,-0.423,0.002,0.180,0.539
0.960,5.000,5.417,-0.417,-0.000,0.179,0.538
0.970,5.000,5.413,-0.411,-0.002,0.178,0.533
0.980,5.000,5.409,-0.407,-0.001,0.177,0.530
0.990,5.000,5.404,-0.405,0.001,0.177,0.532
1.000,5.000,5.400,-0.402,0.001,0.179,0.537
1.010,5.000,5.396,-0.397,0.001,0.179,0.538
1.020,5.000,5.392,-0.391,-0.001,0.178,0.535
1.030,5.000,5.388,-0.387,-0.001,0.177,0.531
1.040,5.000,5.385,-0.384,-0.000,0.177,0.531
1.050,5.000,5.381,-0.382,0.001,0.178,0.534
1.060,5.000,5.377,-0.378,0.001,0.179,0.537
1.070,5.000,5.373,-0.373,-0.000,0.179,0.536
1.080,5.000,5.369,-0.368,-0.001,0.177,0.532
1.090,5.000,5.366,-0.365,-0.001,0.177,0.530
1.100,5.000,5.362,-0.363,0.001,0.177,0.532
1.110,5.000,5.358,-0.359,0.001,0.178,0.535
1.120,5.000,5.355,-0.355,0.000,0.179,0.536
1.130,5.000,5.351,-0.351,-0.001,0.178,0.533
1.140,5.000,5.348,-0.347,-0.001,0.177,0.531
1.150,5.000,5.344,-0.344,-0.000,0.177,0.531
1.160,5.000,5.341,-0.342,0.001,0.178,0.533
1.170,5.000,5.338,-0.338,0.001,0.178,0.535
1.180,5.000,5.334,-0.334,-0.000,0.178,0.534
1.190,5.000,5.331,-0.330,-0.001,0.177,0.531
1.200,5.000,5.327,-0.327,-0.000,0.177,0.530
1.210,5.000,5.324,-0.325,0.000,0.177,0.532
1.220,5.000,5.321,-0.322,0.001,0.178,0.534
1.230,5.000,5.318,-0.318,0.000,0.178,0.534
1.240,5.000,5.315,-0.314,-0.001,0.177,0.532
1.250,5.000,5.311,-0.311,-0.001,0.177,0.530
1.260,5.000,5.308,-0.308,0.000,0.177,0.530
1.270,5.000,5.305,-0.306,0.001,0.177,0.532
1.280,5.000,5.302,-0.303,0.000,0.178,0.533
1.290,5.000,5.299,-0.299,-0.000,0.178,0.533
1.300,5.000,5.296,-0.296,-0.001,0.177,0.531
1.310,5.000,5.293,-0.293,-0.000,0.177,0.530
1.320,5.000,5.290,-0.291,0.000,0.177,0.531
1.330,5.000,5.287,-0.288,0.000,0.177,0.532
1.340,5.000,5.284,-0.285,0.000,0.177,0.532
1.350,5.000,5.282,-0.281,-0.000,0.177,0.531
1.360,5.000,5.279,-0.278,-0.000,0.177,0.530
1.370,5.000,5.276,-0.276,0.000,0.177,0.530
1.380,5.000,5.273,-0.274,0.000,0.177,0.531
1.390,5.000,5.271,-0.271,0.000,0.177,0.532
1.400,5.000,5.268,-0.268,-0.000,0.177,0.531
1.410,5.000,5.265,-0.265,-0.000,0.177,0.530
1.420,5.000,5.263,-0.262,-0.000,0.177,0.530
1.430,5.000,5.260,-0.260,0.000,0.177,0.530
1.440,5.000,5.257,-0.258,0.000,0.177,0.531
1.450,5.000,5.255,-0.255,0.000,0.177,0.531
1.460,5.000,5.252,-0.252,-0.000,0.177,0.530
1.470,5.000,5.250,-0.249,-0.000,0.177,0.530
1.480,5.000,5.247,-0.247,0.000,0.177,0.530
1.490,5.000,5.245,-0.245,0.000,0.177,0.530
1.500,5.000,5.242,-0.242,0.000,0.177,0.531
1.510,5.000,5.240,-0.240,-0.000,0.177,0.530
