time,target,z,dz,e,ei,u
0.000,1.000,6.000,-0.000,-5.000,-0.200,-1.600
0.010,1.000,6.000,-0.294,-4.706,-0.200,-1.541
0.020,1.000,5.997,-0.392,-4.605,-0.200,-1.521
0.030,1.000,5.993,-0.490,-4.503,-0.200,-1.501
0.040,1.000,5.988,-0.589,-4.400,-0.200,-1.480
0.050,1.000,5.982,-0.687,-4.296,-0.200,-1.459
0.060,1.000,5.975,-0.785,-4.191,-0.200,-1.438
0.070,1.000,5.968,-0.883,-4.085,-0.200,-1.417
0.080,1.000,5.959,-0.981,-3.978,-0.200,-1.396
0.090,1.000,5.949,-1.079,-3.870,-0.200,-1.374
0.100,1.000,5.938,-1.177,-3.761,-0.200,-1.352
0.110,1.000,5.926,-1.275,-3.651,-0.200,-1.330
0.120,1.000,5.914,-1.373,-3.541,-0.200,-1.308
0.130,1.000,5.900,-1.471,-3.429,-0.200,-1.286
0.140,1.000,5.885,-1.569,-3.316,-0.200,-1.263
0.150,1.000,5.870,-1.667,-3.202,-0.200,-1.240
0.160,1.000,5.853,-1.765,-3.088,-0.200,-1.218
0.170,1.000,5.835,-1.863,-2.972,-0.200,-1.194
0.180,1.000,5.817,-1.961,-2.855,-0.200,-1.171
0.190,1.000,5.797,-2.060,-2.737,-0.200,-1.147
0.200,1.000,5.776,-2.158,-2.619,-0.200,-1.124
0.210,1.000,5.755,-2.256,-2.499,-0.200,-1.100
0.220,1.000,5.732,-2.354,-2.379,-0.200,-1.076
0.230,1.000,5.709,-2.452,-2.257,-0.200,-1.051
0.240,1.000,5.684,-2.550,-2.134,-0.200,-1.027
0.250,1.000,5.659,-2.648,-2.011,-0.200,-1.002
0.260,1.000,5.632,-2.746,-1.886,-0.200,-0.977
0.270,1.000,5.605,-2.844,-1.761,-0.200,-0.952
0.280,1.000,5.576,-2.942,-1.634,-0.200,-0.927
0.290,1.000,5.547,-3.040,-1.507,-0.200,-0.901
0.300,1.000,5.516,-3.138,-1.378,-0.200,-0.876
0.310,1.000,5.485,-3.236,-1.249,-0.200,-0.850
0.320,1.000,5.453,-3.334,-1.118,-0.200,-0.824
0.330,1.000,5.419,-3.432,-0.987,-0.200,-0.797
0.340,1.000,5.385,-3.531,-0.855,-0.200,-0.771
0.350,1.000,5.350,-3.629,-0.721,-0.200,-0.744
0.360,1.000,5.313,-3.727,-0.587,-0.200,-0.717
0.370,1.000,5.276,-3.825,-0.452,-0.200,-0.690
0.380,1.000,5.238,-3.923,-0.315,-0.200,-0.663
0.390,1.000,5.199,-4.021,-0.178,-0.200,-0.636
0.400,1.000,5.159,-4.119,-0.040,-0.200,-0.608
0.410,1.000,5.117,-4.217,0.100,-0.100,-0.281
0.420,1.000,5.075,-4.315,0.240,0.139,0.466
0.430,1.000,5.032,-4.335,0.303,0.200,0.661
0.440,1.000,4.989,-4.277,0.289,0.200,0.658
0.450,1.000,4.946,-4.221,0.275,0.200,0.655
0.460,1.000,4.904,-4.165,0.262,0.200,0.652
0.470,1.000,4.862,-4.111,0.249,0.200,0.650
0.480,1.000,4.821,-4.058,0.237,0.200,0.647
0.490,1.000,4.780,-4.006,0.226,0.200,0.645
0.500,1.000,4.740,-3.956,0.215,0.200,0.643
0.510,1.000,4.701,-3.906,0.205,0.200,0.641
0.520,1.000,4.662,-3.857,0.195,0.200,0.639
0.530,1.000,4.623,-3.809,0.186,0.200,0.637
0.540,1.000,4.585,-3.762,0.177,0.200,0.635
0.550,1.000,4.547,-3.716,0.168,0.200,0.634
0.560,1.000,4.510,-3.670,0.160,0.200,0.632
0.570,1.000,4.474,-3.625,0.152,0.200,0.630
0.580,1.000,4.437,-3.581,0.144,0.200,0.629
0.590,1.000,4.401,-3.538,0.137,0.200,0.627
0.600,1.000,4.366,-3.495,0.129,0.200,0.626
0.610,1.000,4.331,-3.453,0.122,0.200,0.624
0.620,1.000,4.297,-3.412,0.115,0.200,0.623
0.630,1.000,4.262,-3.371,0.109,0.200,0.622
0.640,1.000,4.229,-3.331,0.102,0.200,0.620
0.650,1.000,4.195,-3.291,0.096,0.200,0.619
0.660,1.000,4.163,-3.252,0.090,0.200,0.618
0.670,1.000,4.130,-3.214,0.084,0.200,0.617
0.680,1.000,4.098,-3.176,0.078,0.200,0.616
