time,target,z,dz,e,ei,u
0.000,8.000,3.000,-0.000,5.000,0.200,1.600
0.010,8.000,3.000,0.407,4.593,0.200,1.519
0.020,8.000,3.004,0.667,4.329,0.200,1.466
0.030,8.000,3.011,0.926,4.063,0.200,1.413
0.040,8.000,3.020,1.186,3.794,0.200,1.359
0.050,8.000,3.032,1.445,3.523,0.200,1.305
0.060,8.000,3.046,1.705,3.249,0.200,1.250
0.070,8.000,3.063,1.964,2.972,0.200,1.194
0.080,8.000,3.083,2.224,2.693,0.200,1.139
0.090,8.000,3.105,2.483,2.411,0.200,1.082
0.100,8.000,3.130,2.743,2.127,0.200,1.025
0.110,8.000,3.158,3.003,1.840,0.200,0.968
0.120,8.000,3.188,3.240,1.573,0.200,0.915
0.130,8.000,3.220,3.441,1.339,0.200,0.868
0.140,8.000,3.254,3.612,1.134,0.200,0.827
0.150,8.000,3.290,3.758,0.951,0.200,0.790
0.160,8.000,3.328,3.883,0.788,0.200,0.758
0.170,8.000,3.367,3.991,0.642,0.200,0.728
0.180,8.000,3.407,4.082,0.511,0.200,0.702
0.190,8.000,3.448,4.161,0.392,0.200,0.678
0.200,8.000,3.489,4.227,0.284,0.200,0.657
0.210,8.000,3.531,4.283,0.185,0.200,0.637
0.220,8.000,3.574,4.330,0.095,0.200,0.619
0.230,8.000,3.618,4.369,0.013,0.200,0.603
0.240,8.000,3.661,4.401,-0.062,0.138,0.400
0.250,8.000,3.705,4.360,-0.066,0.072,0.203
0.260,8.000,3.749,4.277,-0.026,0.046,0.133
0.270,8.000,3.792,4.185,0.023,0.069,0.212
0.280,8.000,3.834,4.103,0.063,0.132,0.410
0.290,8.000,3.875,4.065,0.060,0.193,0.590
0.300,8.000,3.915,4.092,-0.007,0.186,0.556
0.310,8.000,3.956,4.104,-0.060,0.126,0.365
0.320,8.000,3.997,4.054,-0.051,0.075,0.214
0.330,8.000,4.038,3.972,-0.010,0.065,0.194
0.340,8.000,4.077,3.887,0.035,0.100,0.308
0.350,8.000,4.116,3.823,0.060,0.161,0.495
0.360,8.000,4.155,3.813,0.033,0.194,0.588
0.370,8.000,4.193,3.838,-0.031,0.163,0.483
0.380,8.000,4.231,3.823,-0.054,0.109,0.315
0.390,8.000,4.269,3.761,-0.030,0.079,0.230
0.400,8.000,4.307,3.681,0.012,0.090,0.273
0.410,8.000,4.344,3.610,0.046,0.136,0.419
0.420,8.000,4.380,3.575,0.046,0.182,0.555
0.430,8.000,4.416,3.587,-0.002,0.180,0.539
0.440,8.000,4.451,3.592,-0.044,0.136,0.399
0.450,8.000,4.487,3.551,-0.039,0.097,0.284
0.460,8.000,4.523,3.482,-0.005,0.092,0.276
0.470,8.000,4.558,3.411,0.031,0.124,0.377
0.480,8.000,4.592,3.364,0.044,0.168,0.512
0.490,8.000,4.625,3.360,0.015,0.183,0.551
0.500,8.000,4.659,3.370,-0.029,0.153,0.455
0.510,8.000,4.693,3.346,-0.039,0.115,0.336
0.520,8.000,4.726,3.288,-0.015,0.100,0.298
0.530,8.000,4.759,3.222,0.019,0.119,0.361
0.540,8.000,4.791,3.171,0.038,0.157,0.479
0.550,8.000,4.823,3.155,0.022,0.180,0.543
0.560,8.000,4.855,3.162,-0.017,0.163,0.485
0.570,8.000,4.886,3.148,-0.035,0.128,0.378
0.580,8.000,4.918,3.101,-0.019,0.109,0.324
0.590,8.000,4.949,3.041,0.010,0.120,0.361
0.600,8.000,4.979,2.990,0.031,0.151,0.459
0.610,8.000,5.009,2.967,0.024,0.175,0.530
0.620,8.000,5.039,2.969,-0.008,0.167,0.500
0.630,8.000,5.068,2.961,-0.029,0.138,0.409
0.640,8.000,5.098,2.922,-0.020,0.118,0.350
0.650,8.000,5.127,2.868,0.005,0.123,0.370
0.660,8.000,5.156,2.819,0.025,0.148,0.450
0.670,8.000,5.184,2.793,0.023,0.171,0.518
0.680,8.000,5.212,2.791,-0.003,0.168,0.504
0.690,8.000,5.240,2.784,-0.024,0.145,0.429
0.700,8.000,5.268,2.752,-0.019,0.125,0.372
0.710,8.000,5.295,2.703,0.002,0.127,0.382
0.720,8.000,5.322,2.657,0.021,0.148,0.448
0.730,8.000,5.349,2.631,0.021,0.168,0.509
0.740,8.000,5.375,2.625,-0.000,0.168,0.504
0.750,8.000,5.401,2.618,-0.019,0.149,0.442
0.760,8.000,5.428,2.590,-0.017,0.131,0.390
0.770,8.000,5.453,2.546,0.000,0.132,0.395
0.780,8.000,5.479,2.504,0.017,0.149,0.450
0.790,8.000,5.504,2.478,0.018,0.167,0.504
0.800,8.000,5.529,2.471,0.000,0.167,0.501
0.810,8.000,5.553,2.463,-0.016,0.151,0.450
0.820,8.000,5.578,2.437,-0.015,0.136,0.405
0.830,8.000,5.602,2.397,0.000,0.136,0.408
0.840,8.000,5.626,2.359,0.015,0.151,0.455
0.850,8.000,5.650,2.335,0.015,0.166,0.500
0.860,8.000,5.673,2.326,0.000,0.166,0.498
0.870,8.000,5.697,2.317,-0.014,0.152,0.455
0.880,8.000,5.720,2.293,-0.013,0.140,0.417
0.890,8.000,5.743,2.257,0.000,0.140,0.421
0.900,8.000,5.765,2.222,0.013,0.153,0.461
0.910,8.000,5.788,2.200,0.013,0.165,0.498
0.920,8.000,5.810,2.191,-0.000,0.165,0.495
0.930,8.000,5.831,2.180,-0.012,0.153,0.458
0.940,8.000,5.853,2.157,-0.010,0.143,0.427
0.950,8.000,5.875,2.124,0.001,0.144,0.432
0.960,8.000,5.896,2.093,0.011,0.155,0.467
0.970,8.000,5.917,2.073,0.010,0.165,0.497
0.980,8.000,5.938,2.063,-0.001,0.164,0.492
0.990,8.000,5.958,2.052,-0.010,0.154,0.460
1.000,8.000,5.979,2.029,-0.008,0.146,0.435
1.010,8.000,5.999,1.999,0.002,0.147,0.443
1.020,8.000,6.019,1.971,0.010,0.157,0.474
1.030,8.000,6.039,1.953,0.008,0.165,0.497
1.040,8.000,6.058,1.943,-0.002,0.163,0.489
1.050,8.000,6.078,1.931,-0.009,0.154,0.461
1.060,8.000,6.097,1.909,-0.006,0.148,0.443
1.070,8.000,6.116,1.881,0.002,0.151,0.452
1.080,8.000,6.135,1.856,0.009,0.159,0.479
1.090,8.000,6.154,1.840,0.006,0.165,0.497
1.100,8.000,6.172,1.831,-0.003,0.163,0.487
1.110,8.000,6.190,1.817,-0.008,0.155,0.463
1.120,8.000,6.208,1.796,-0.004,0.150,0.450
1.130,8.000,6.226,1.770,0.003,0.154,0.461
1.140,8.000,6.244,1.748,0.007,0.161,0.484
