time,target,z,dz,e,ei,u
0.000,8.000,6.000,-0.000,2.000,0.200,1.000
0.010,8.000,6.000,0.055,1.945,0.200,0.989
0.020,8.000,6.001,0.306,1.693,0.200,0.939
0.030,8.000,6.004,0.523,1.473,0.200,0.895
0.040,8.000,6.009,0.711,1.280,0.200,0.856
0.050,8.000,6.016,0.875,1.109,0.200,0.822
0.060,8.000,6.025,1.019,0.957,0.200,0.791
0.070,8.000,6.035,1.145,0.820,0.200,0.764
0.080,8.000,6.046,1.255,0.698,0.200,0.740
0.090,8.000,6.059,1.353,0.588,0.200,0.718
0.100,8.000,6.072,1.439,0.489,0.200,0.698
0.110,8.000,6.087,1.515,0.398,0.200,0.680
0.120,8.000,6.102,1.582,0.316,0.200,0.663
0.130,8.000,6.118,1.641,0.241,0.200,0.648
0.140,8.000,6.134,1.694,0.172,0.200,0.634
0.150,8.000,6.151,1.739,0.109,0.200,0.622
0.160,8.000,6.169,1.780,0.052,0.200,0.610
0.170,8.000,6.186,1.815,-0.001,0.199,0.596
0.180,8.000,6.204,1.844,-0.048,0.150,0.442
0.190,8.000,6.223,1.816,-0.039,0.112,0.328
0.200,8.000,6.241,1.756,0.003,0.115,0.345
0.210,8.000,6.259,1.701,0.041,0.156,0.475
0.220,8.000,6.276,1.683,0.041,0.197,0.599
0.230,8.000,6.292,1.713,-0.006,0.191,0.572
0.240,8.000,6.310,1.732,-0.042,0.149,0.439
0.250,8.000,6.327,1.703,-0.030,0.119,0.351
0.260,8.000,6.344,1.649,0.007,0.126,0.379
0.270,8.000,6.360,1.603,0.037,0.163,0.496
0.280,8.000,6.376,1.592,0.031,0.194,0.588
0.290,8.000,6.392,1.618,-0.010,0.184,0.548
0.300,8.000,6.409,1.628,-0.036,0.147,0.435
0.310,8.000,6.425,1.597,-0.022,0.125,0.372
0.320,8.000,6.441,1.549,0.011,0.136,0.410
0.330,8.000,6.456,1.511,0.033,0.169,0.514
0.340,8.000,6.471,1.507,0.022,0.191,0.576
0.350,8.000,6.486,1.528,-0.014,0.176,0.526
0.360,8.000,6.502,1.529,-0.031,0.146,0.432
0.370,8.000,6.517,1.497,-0.014,0.132,0.392
0.380,8.000,6.532,1.454,0.014,0.145,0.439
0.390,8.000,6.547,1.425,0.028,0.174,0.527
0.400,8.000,6.561,1.426,0.013,0.187,0.563
0.410,8.000,6.575,1.441,-0.017,0.170,0.507
0.420,8.000,6.589,1.435,-0.025,0.145,0.431
0.430,8.000,6.604,1.404,-0.008,0.138,0.412
0.440,8.000,6.618,1.366,0.016,0.154,0.464
0.450,8.000,6.632,1.345,0.023,0.177,0.535
0.460,8.000,6.645,1.350,0.005,0.182,0.548
0.470,8.000,6.658,1.359,-0.017,0.165,0.491
0.480,8.000,6.672,1.347,-0.019,0.146,0.433
0.490,8.000,6.686,1.316,-0.002,0.144,0.431
0.500,8.000,6.699,1.285,0.017,0.161,0.485
0.510,8.000,6.712,1.271,0.018,0.178,0.538
0.520,8.000,6.724,1.276,-0.001,0.178,0.533
0.530,8.000,6.737,1.280,-0.017,0.161,0.479
0.540,8.000,6.750,1.264,-0.014,0.147,0.439
0.550,8.000,6.762,1.235,0.003,0.150,0.451
0.560,8.000,6.775,1.209,0.016,0.166,0.501
0.570,8.000,6.787,1.201,0.012,0.178,0.537
0.580,8.000,6.799,1.206,-0.005,0.173,0.519
0.590,8.000,6.811,1.204,-0.015,0.158,0.471
0.600,8.000,6.823,1.186,-0.009,0.150,0.447
0.610,8.000,6.835,1.159,0.006,0.156,0.469
0.620,8.000,6.846,1.139,0.014,0.170,0.513
0.630,8.000,6.858,1.135,0.007,0.177,0.532
0.640,8.000,6.869,1.138,-0.008,0.169,0.506
0.650,8.000,6.881,1.132,-0.012,0.157,0.468
0.660,8.000,6.892,1.112,-0.004,0.153,0.458
0.670,8.000,6.903,1.089,0.008,0.161,0.484
0.680,8.000,6.914,1.075,0.011,0.172,0.519
0.690,8.000,6.925,1.073,0.002,0.175,0.524
0.700,8.000,6.935,1.073,-0.009,0.166,0.496
0.710,8.000,6.946,1.063,-0.009,0.157,0.468
0.720,8.000,6.957,1.043,-0.000,0.156,0.469
0.730,8.000,6.967,1.024,0.009,0.165,0.497
0.740,8.000,6.977,1.014,0.008,0.173,0.522
0.750,8.000,6.988,1.014,-0.001,0.172,0.516
0.760,8.000,6.998,1.011,-0.009,0.164,0.489
0.770,8.000,7.008,0.998,-0.006,0.157,0.471
0.780,8.000,7.018,0.980,0.003,0.160,0.480
0.790,8.000,7.028,0.964,0.008,0.168,0.506
