time,target,z,dz,e,ei,u
0.000,5.000,3.000,-0.000,2.000,0.200,1.000
0.010,5.000,3.000,-0.019,2.019,0.200,1.004
0.020,5.000,3.000,0.240,1.760,0.200,0.952
0.030,5.000,3.002,0.466,1.531,0.200,0.906
0.040,5.000,3.007,0.662,1.331,0.200,0.866
0.050,5.000,3.013,0.832,1.154,0.200,0.831
0.060,5.000,3.022,0.981,0.997,0.200,0.799
0.070,5.000,3.032,1.112,0.857,0.200,0.771
0.080,5.000,3.043,1.226,0.731,0.200,0.746
0.090,5.000,3.055,1.327,0.618,0.200,0.724
0.100,5.000,3.068,1.416,0.515,0.200,0.703
0.110,5.000,3.082,1.495,0.422,0.200,0.684
0.120,5.000,3.097,1.565,0.338,0.200,0.668
0.130,5.000,3.113,1.626,0.261,0.200,0.652
0.140,5.000,3.129,1.680,0.191,0.200,0.638
0.150,5.000,3.146,1.728,0.126,0.200,0.625
0.160,5.000,3.163,1.769,0.067,0.200,0.613
0.170,5.000,3.181,1.806,0.013,0.200,0.603
0.180,5.000,3.199,1.838,-0.037,0.163,0.483
0.190,5.000,3.218,1.823,-0.040,0.123,0.361
0.200,5.000,3.236,1.771,-0.007,0.116,0.347
0.210,5.000,3.253,1.716,0.030,0.146,0.445
0.220,5.000,3.271,1.689,0.040,0.187,0.568
0.230,5.000,3.287,1.706,0.006,0.193,0.580
0.240,5.000,3.305,1.729,-0.033,0.160,0.473
0.250,5.000,3.322,1.710,-0.032,0.128,0.376
0.260,5.000,3.339,1.663,-0.002,0.126,0.377
0.270,5.000,3.356,1.616,0.029,0.155,0.469
0.280,5.000,3.372,1.596,0.032,0.187,0.566
0.290,5.000,3.388,1.613,-0.000,0.186,0.558
0.300,5.000,3.404,1.626,-0.030,0.156,0.463
0.310,5.000,3.420,1.604,-0.025,0.132,0.390
0.320,5.000,3.436,1.561,0.003,0.135,0.405
0.330,5.000,3.452,1.521,0.027,0.162,0.490
0.340,5.000,3.467,1.509,0.024,0.186,0.561
0.350,5.000,3.482,1.524,-0.006,0.180,0.538
0.360,5.000,3.497,1.529,-0.026,0.153,0.454
0.370,5.000,3.513,1.505,-0.017,0.136,0.404
0.380,5.000,3.528,1.465,0.007,0.143,0.430
0.390,5.000,3.542,1.433,0.024,0.167,0.507
0.400,5.000,3.557,1.427,0.016,0.184,0.554
0.410,5.000,3.571,1.439,-0.010,0.174,0.520
0.420,5.000,3.585,1.437,-0.023,0.151,0.449
0.430,5.000,3.600,1.411,-0.011,0.140,0.418
0.440,5.000,3.614,1.376,0.010,0.151,0.454
0.450,5.000,3.628,1.351,0.021,0.172,0.519
0.460,5.000,3.641,1.350,0.009,0.181,0.545
0.470,5.000,3.655,1.358,-0.012,0.169,0.504
0.480,5.000,3.668,1.350,-0.018,0.150,0.447
0.490,5.000,3.682,1.324,-0.005,0.145,0.434
0.500,5.000,3.695,1.293,0.012,0.157,0.474
0.510,5.000,3.708,1.275,0.017,0.174,0.526
0.520,5.000,3.721,1.276,0.003,0.178,0.534
0.530,5.000,3.733,1.280,-0.013,0.165,0.491
0.540,5.000,3.746,1.268,-0.014,0.151,0.449
0.550,5.000,3.759,1.242,-0.001,0.150,0.449
0.560,5.000,3.771,1.216,0.013,0.163,0.490
0.570,5.000,3.783,1.204,0.013,0.175,0.528
0.580,5.000,3.795,1.206,-0.001,0.174,0.522
0.590,5.000,3.807,1.205,-0.013,0.162,0.482
0.600,5.000,3.819,1.190,-0.010,0.152,0.453
0.610,5.000,3.831,1.166,0.003,0.155,0.465
0.620,5.000,3.843,1.145,0.012,0.167,0.503
0.630,5.000,3.854,1.137,0.008,0.175,0.527
0.640,5.000,3.866,1.138,-0.004,0.171,0.512
0.650,5.000,3.877,1.134,-0.011,0.160,0.477
0.660,5.000,3.889,1.117,-0.006,0.154,0.461
0.670,5.000,3.900,1.095,0.005,0.159,0.479
0.680,5.000,3.911,1.079,0.010,0.170,0.511
0.690,5.000,3.921,1.074,0.004,0.174,0.523
0.700,5.000,3.932,1.074,-0.006,0.168,0.502
0.710,5.000,3.943,1.066,-0.009,0.159,0.475
0.720,5.000,3.954,1.049,-0.002,0.157,0.469
0.730,5.000,3.964,1.029,0.007,0.163,0.491
0.740,5.000,3.974,1.017,0.008,0.171,0.516
0.750,5.000,3.985,1.014,0.001,0.172,0.517
0.760,5.000,3.995,1.012,-0.007,0.166,0.495
0.770,5.000,4.005,1.002,-0.007,0.159,0.476
0.780,5.000,4.015,0.985,0.001,0.160,0.479
0.790,5.000,4.025,0.968,0.007,0.166,0.501
0.800,5.000,4.034,0.960,0.006,0.172,0.517
0.810,5.000,4.044,0.958,-0.002,0.170,0.511
0.820,5.000,4.054,0.953,-0.006,0.164,0.491
0.830,5.000,4.063,0.941,-0.004,0.160,0.479
0.840,5.000,4.073,0.925,0.003,0.163,0.488
0.850,5.000,4.082,0.912,0.006,0.169,0.507
0.860,5.000,4.091,0.906,0.003,0.172,0.516
0.870,5.000,4.100,0.903,-0.003,0.169,0.505
0.880,5.000,4.109,0.896,-0.005,0.163,0.489
0.890,5.000,4.118,0.884,-0.002,0.162,0.484
0.900,5.000,4.127,0.870,0.004,0.165,0.496
0.910,5.000,4.135,0.860,0.005,0.170,0.511
0.920,5.000,4.144,0.855,0.001,0.171,0.513
0.930,5.000,4.153,0.851,-0.004,0.167,0.501
0.940,5.000,4.161,0.843,-0.004,0.163,0.489
0.950,5.000,4.170,0.830,0.000,0.163,0.490
0.960,5.000,4.178,0.818,0.004,0.167,0.503
0.970,5.000,4.186,0.811,0.003,0.171,0.513
0.980,5.000,4.194,0.807,-0.001,0.170,0.510
0.990,5.000,4.202,0.801,-0.004,0.166,0.498
1.000,5.000,4.210,0.792,-0.002,0.164,0.491
1.010,5.000,4.218,0.780,0.001,0.165,0.496
1.020,5.000,4.226,0.770,0.004,0.169,0.508
1.030,5.000,4.234,0.765,0.002,0.171,0.513
1.040,5.000,4.241,0.760,-0.002,0.169,0.507
1.050,5.000,4.249,0.754,-0.003,0.166,0.497
1.060,5.000,4.256,0.744,-0.001,0.165,0.495
1.070,5.000,4.264,0.734,0.002,0.167,0.502
1.080,5.000,4.271,0.726,0.003,0.170,0.511
1.090,5.000,4.279,0.721,0.000,0.170,0.511
1.100,5.000,4.286,0.717,-0.002,0.168,0.504
1.110,5.000,4.293,0.709,-0.002,0.166,0.497
1.120,5.000,4.300,0.700,0.000,0.166,0.499
1.130,5.000,4.307,0.691,0.002,0.169,0.506
1.140,5.000,4.314,0.684,0.002,0.170,0.512
1.150,5.000,4.321,0.680,-0.001,0.170,0.510
1.160,5.000,4.328,0.675,-0.002,0.168,0.503
1.170,5.000,4.334,0.667,-0.001,0.166,0.499
1.180,5.000,4.341,0.658,0.001,0.167,0.503
1.190,5.000,4.348,0.650,0.002,0.170,0.509
1.200,5.000,4.354,0.645,0.001,0.171,0.512
1.210,5.000,4.360,0.641,-0.001,0.169,0.508
1.220,5.000,4.367,0.635,-0.002,0.168,0.503
1.230,5.000,4.373,0.627,-0.000,0.167,0.502
1.240,5.000,4.379,0.619,0.001,0.169,0.506
1.250,5.000,4.386,0.613,0.002,0.170,0.511
1.260,5.000,4.392,0.608,0.000,0.170,0.511
1.270,5.000,4.398,0.603,-0.001,0.169,0.507
1.280,5.000,4.404,0.597,-0.001,0.168,0.503
1.290,5.000,4.410,0.590,0.000,0.168,0.505
1.300,5.000,4.416,0.583,0.001,0.170,0.509
1.310,5.000,4.422,0.577,0.001,0.171,0.512
1.320,5.000,4.427,0.573,-0.000,0.170,0.510
1.330,5.000,4.433,0.568,-0.001,0.169,0.506
1.340,5.000,4.439,0.562,-0.001,0.168,0.505
1.350,5.000,4.444,0.555,0.001,0.169,0.507
1.360,5.000,4.450,0.549,0.001,0.170,0.511
1.370,5.000,4.455,0.544,0.000,0.171,0.512
1.380,5.000,4.461,0.540,-0.001,0.170,0.510
1.390,5.000,4.466,0.535,-0.001,0.169,0.507
1.400,5.000,4.472,0.528,-0.000,0.169,0.507
1.410,5.000,4.477,0.522,0.001,0.170,0.510
1.420,5.000,4.482,0.517,0.001,0.171,0.512
1.430,5.000,4.487,0.513,-0.000,0.171,0.512
