z,dz,e,ei,u
4.310,0.691,-0.001,0.168,0.503
4.317,0.684,-0.000,0.167,0.502
4.323,0.676,0.001,0.168,0.505
4.330,0.669,0.001,0.169,0.508
4.337,0.663,0.000,0.169,0.508
4.343,0.657,-0.001,0.169,0.506
4.350,0.651,-0.001,0.168,0.504
4.356,0.643,0.000,0.168,0.505
4.363,0.636,0.001,0.169,0.507
4.369,0.630,0.001,0.170,0.509
4.376,0.625,-0.000,0.169,0.508
4.382,0.619,-0.001,0.169,0.506
4.388,0.612,-0.000,0.168,0.505
4.394,0.605,0.000,0.169,0.507
4.400,0.599,0.001,0.170,0.509
4.406,0.594,0.000,0.170,0.509
4.412,0.588,-0.000,0.169,0.508
4.418,0.582,-0.000,0.169,0.507
4.424,0.576,-0.000,0.169,0.507
4.430,0.570,0.001,0.169,0.508
4.435,0.564,0.001,0.170,0.510
4.441,0.559,-0.000,0.170,0.510
4.447,0.554,-0.000,0.169,0.508
4.452,0.548,-0.000,0.169,0.507
4.458,0.542,0.000,0.169,0.508
4.463,0.537,0.001,0.170,0.510
4.468,0.531,0.000,0.170,0.511
4.474,0.527,-0.000,0.170,0.510
4.479,0.521,-0.000,0.170,0.509
4.484,0.516,-0.000,0.170,0.509
4.489,0.510,0.000,0.170,0.510
4.494,0.505,0.000,0.170,0.511
4.499,0.500,0.000,0.170,0.511
4.504,0.496,-0.000,0.170,0.510
4.509,0.491,-0.000,0.170,0.510
4.514,0.486,0.000,0.170,0.510
4.519,0.480,0.000,0.170,0.511
4.524,0.476,0.000,0.171,0.512
4.529,0.471,-0.000,0.170,0.511
4.533,0.467,-0.000,0.170,0.511
4.538,0.462,-0.000,0.170,0.510
4.543,0.457,0.000,0.170,0.511
4.547,0.452,0.000,0.171,0.512
4.552,0.448,0.000,0.171,0.512
4.556,0.444,-0.000,0.171,0.512
4.561,0.439,-0.000,0.170,0.511
4.565,0.435,0.000,0.170,0.511
4.569,0.430,0.000,0.171,0.512
4.574,0.426,0.000,0.171,0.513
4.578,0.422,0.000,0.171,0.513
4.582,0.418,-0.000,0.171,0.512
4.586,0.414,-0.000,0.171,0.512
4.591,0.409,0.000,0.171,0.512
4.595,0.405,0.000,0.171,0.513
4.599,0.401,0.000,0.171,0.513
4.603,0.397,-0.000,0.171,0.513
4.607,0.393,-0.000,0.171,0.513
4.611,0.389,-0.000,0.171,0.513
4.615,0.385,0.000,0.171,0.513
4.618,0.381,0.000,0.171,0.514
4.622,0.378,0.000,0.171,0.514
4.626,0.374,-0.000,0.171,0.514
4.630,0.370,-0.000,0.171,0.513
4.633,0.367,0.000,0.171,0.514
4.637,0.363,0.000,0.171,0.514
4.641,0.359,0.000,0.171,0.514
4.644,0.356,-0.000,0.171,0.514
4.648,0.352,-0.000,0.171,0.514
4.651,0.349,-0.000,0.171,0.514
4.655,0.345,0.000,0.171,0.514
4.658,0.342,0.000,0.172,0.515
4.662,0.338,0.000,0.172,0.515
4.665,0.335,-0.000,0.172,0.515
4.668,0.332,-0.000,0.172,0.515
4.672,0.328,0.000,0.172,0.515
4.675,0.325,0.000,0.172,0.515
4.678,0.322,0.000,0.172,0.515
4.682,0.318,0.000,0.172,0.515
4.685,0.315,-0.000,0.172,0.515
4.688,0.312,-0.000,0.172,0.515
4.691,0.309,0.000,0.172,0.515
4.694,0.306,0.000,0.172,0.516
4.697,0.303,0.000,0.172,0.516
4.700,0.300,-0.000,0.172,0.516
4.703,0.297,-0.000,0.172,0.516
4.706,0.294,0.000,0.172,0.516
